Canonical Flashcard ID,Legacy / Package Card ID,Source Position,Status,Disposition,Program Section,Topic,Workbook Number,Chapter Number,Chapter Title,Card Type,Concept,Prompt,Back,Memory Cue,Assessment Record IDs,Source Master Question IDs,Workbook Route,Error Category,Source Concept,Currency Control,Source Accuracy,Version,Review Date,Output Status,Source Family
CTA-EP-002-FC-0011,CTA-FC-0011,CTA-FC-0011,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Application Principle,Identifying a Material Treatment Change,What principle should guide the clinician’s decision?,"Moving from individual to recurring conjoint treatment can materially change the nature of the service, who is considered a client, the therapist’s role, and confidentiality expectations. Those changes should be discussed before implementation.","Identify whether the proposed change alters the service, roles, confidentiality, risks, costs, or expectations - not merely whether something in treatment is different.",WB1-C1-Q011,CTA-MQB-0011,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0012,CTA-FC-0012,CTA-FC-0012,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Application Principle,Legal Representative and Client Participation,What principle should guide the clinician’s decision?,The therapist should rely on the lawful decision-maker while supporting the client’s meaningful participation to the extent possible.,Separate legal consent authority from the ethical responsibility to involve the client whenever possible.,WB1-C1-Q012,CTA-MQB-0012,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0013,CTA-FC-0013,CTA-FC-0013,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Application Principle,Mandated Treatment,What principle should guide the clinician’s decision?,"The therapist should clarify what is required, what information may be reported, and what meaningful choices remain.",Mandated attendance does not mean unlimited therapist authority or zero client rights.,WB1-C1-Q013,CTA-MQB-0013,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0014,CTA-FC-0014,CTA-FC-0014,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Application Principle,Temporary Impairment,What principle should guide the clinician’s decision?,The therapist should manage immediate safety concerns and defer a nonurgent major decision until meaningful participation is possible.,Temporary impairment plus a nonurgent decision usually means address safety now and postpone the decision.,WB1-C1-Q014,CTA-MQB-0014,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0015,CTA-FC-0015,CTA-FC-0015,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Application Principle,Autonomy and Professional Responsibility,What principle should guide the clinician’s decision?,"The client may refuse the recommendation, but the therapist is not required to provide ineffective or incompetent treatment and should manage alternatives or transition appropriately.",The strongest answer preserves both sides: client refusal and therapist professional responsibility.,WB1-C1-Q015,CTA-MQB-0015,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0016,CTA-FC-0016,CTA-FC-0016,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Application Principle,Request to Avoid Material Information,What principle should guide the clinician’s decision?,The therapist should avoid unnecessary detail while still providing information material to the decision.,"Choose the balance: do not overwhelm the client, but do not materially mislead.",WB1-C1-Q016,CTA-MQB-0016,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0017,CTA-FC-0017,CTA-FC-0017,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,1,Foundations of Informed Consent,Application Principle,Foundations of Informed Consent,What principle should guide the clinician’s decision?,"Pause the nonurgent intervention, address immediate safety, clarify the proposed change and reasonable options when the client can participate meaningfully, assess understanding and voluntariness, determine the client’s decision, and document the significant discussion. This response integrates decision-making ability, understanding, voluntariness, material change, safety, client choice, and documentation.","In an integrated consent question, organize the facts: authority and ability, information and understanding, voluntariness, choice, safety, and documentation.",WB1-C1-Q017,CTA-MQB-0017,WB1-C1,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0018,CTA-FC-0018,CTA-FC-0018,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Key Concept,Nature and Purpose of Services,What is the key principle to remember?,"A client needs a basic, understandable explanation of the proposed service and its purpose before deciding whether to participate.",When the client knows when to attend and how to pay - but not what is being offered - look for the missing nature and purpose of treatment.,WB1-C2-Q001,CTA-MQB-0018,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0019,CTA-FC-0019,CTA-FC-0019,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Application Principle,Balanced Benefits and Risks,What principle should guide the clinician’s decision?,"The therapist should provide balanced, accurate information and acknowledge uncertainty before relying on the client’s decision.",Guaranteed outcomes and intentional omission of meaningful risks are major red flags.,WB1-C2-Q002,CTA-MQB-0019,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0020,CTA-FC-0020,CTA-FC-0020,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Application Principle,Reasonable Treatment Alternatives,What principle should guide the clinician’s decision?,"Coverage affects cost, but intentionally concealing a clinically reasonable alternative may improperly narrow the client’s decision.",Distinguish discussing an alternative from being required to provide it.,WB1-C2-Q003,CTA-MQB-0020,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0021,CTA-FC-0021,CTA-FC-0021,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Application Principle,Confidentiality Framework,What principle should guide the clinician’s decision?,The client should understand how information is generally protected and the significant limits relevant to participation.,The client needs meaningful confidentiality information - not silence and not an exhaustive law lecture.,WB1-C2-Q004,CTA-MQB-0021,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0022,CTA-FC-0022,CTA-FC-0022,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Application Principle,Fees and Financial Policies,What principle should guide the clinician’s decision?,A substantial fee can affect whether a client enters or continues treatment and should be communicated before enforcement.,Ask whether the undisclosed policy could reasonably affect the client’s decision to begin or continue treatment.,WB1-C2-Q005,CTA-MQB-0022,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0023,CTA-FC-0023,CTA-FC-0023,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Application Principle,Context-Specific Disclosure,What principle should guide the clinician’s decision?,"Informed-consent content is context-specific and generally increases in depth as risk, novelty, or complexity increases.",Avoid the trap that every informed-consent conversation must be identical.,WB1-C2-Q006,CTA-MQB-0023,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0024,CTA-FC-0024,CTA-FC-0024,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Application Principle,Developing or Unfamiliar Treatment,What principle should guide the clinician’s decision?,Novelty and uncertainty are potentially material and should be communicated accurately before the client decides.,"New, developing, experimental, or unfamiliar methods require greater transparency - not less.",WB1-C2-Q007,CTA-MQB-0024,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0025,CTA-FC-0025,CTA-FC-0025,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Application Principle,Accessible Communication,What principle should guide the clinician’s decision?,"The therapist should identify material information, explain it clearly, and check comprehension.",Do not confuse more pages with more understanding.,WB1-C2-Q008,CTA-MQB-0025,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0026,CTA-FC-0026,CTA-FC-0026,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Application Principle,Alternatives Outside the Therapist’s Practice,What principle should guide the clinician’s decision?,The therapist should accurately discuss clinically reasonable options and professional limitations.,“Not offered here” does not mean “does not exist.”,WB1-C2-Q009,CTA-MQB-0026,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0027,CTA-FC-0027,CTA-FC-0027,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Application Principle,Materiality and Client-Specific Risk,What principle should guide the clinician’s decision?,A routine intervention may require additional discussion when a known individualized factor materially changes risk.,Ask what information would realistically matter to this client’s decision.,WB1-C2-Q010,CTA-MQB-0027,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0028,CTA-FC-0028,CTA-FC-0028,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Key Concept,Accurate Expected Benefits,What is the key principle to remember?,The statement explains a potential benefit and accurately acknowledges uncertainty.,Language such as “may help” and “outcomes vary” is stronger than promises of cure.,WB1-C2-Q011,CTA-MQB-0028,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0029,CTA-FC-0029,CTA-FC-0029,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Application Principle,Opportunity to Ask Questions,What principle should guide the clinician’s decision?,Meaningful consent includes a genuine opportunity for questions and clarification.,Information without an opportunity to respond is an incomplete process.,WB1-C2-Q012,CTA-MQB-0029,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0030,CTA-FC-0030,CTA-FC-0030,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Application Principle,Relevant Financial Information,What principle should guide the clinician’s decision?,"Financial transparency combines accurate known costs, significant policies, and honest uncertainty.",Choose accurate known costs plus significant policies - not silence or false certainty.,WB1-C2-Q013,CTA-MQB-0030,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0031,CTA-FC-0031,CTA-FC-0031,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Distinction,Material Risks vs. Every Conceivable Risk,How should these concepts be separated on the exam?,"The goal is accurate, proportionate, decision-relevant information.",Avoid both extremes: no meaningful risk information and every imaginable remote risk.,WB1-C2-Q014,CTA-MQB-0031,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0032,CTA-FC-0032,CTA-FC-0032,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Application Principle,Financial Interest and Treatment Options,What principle should guide the clinician’s decision?,Personal financial benefit appears to be distorting the information and narrowing the client’s meaningful choice.,"When the therapist has a personal interest, ask whether the client is receiving accurate information or only information that benefits the therapist.",WB1-C2-Q015,CTA-MQB-0032,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0033,CTA-FC-0033,CTA-FC-0033,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Application Principle,Client Request to Avoid Material Information,What principle should guide the clinician’s decision?,The therapist should pace and adapt the discussion while still providing material information.,Do not overwhelm - but do not materially mislead.,WB1-C2-Q016,CTA-MQB-0033,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0034,CTA-FC-0034,CTA-FC-0034,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,2,Information Required for Informed Decision-Making,Application Principle,Comprehensive Information for Informed Decision-Making,What principle should guide the clinician’s decision?,"Reopen the discussion, correct the inaccurate guarantee, explain the intervention accessibly, disclose material risks and financial information, discuss reasonable options, invite questions, and determine whether the client voluntarily wishes to proceed. This response restores balanced information, materiality, alternatives, financial transparency, understanding, questions, and voluntary choice.","For an integrated disclosure question, check nature, benefits, risks, alternatives, costs, understanding, questions, and voluntary choice.",WB1-C2-Q017,CTA-MQB-0034,WB1-C2,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0035,CTA-FC-0035,CTA-FC-0035,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,3,Ongoing Informed Consent,Key Concept,Meaning of Ongoing Informed Consent,What is the key principle to remember?,"The therapist should respond to significant changes, new information, questions, misunderstanding, and meaningful decision points.",Do not interpret “ongoing” as “repeat everything constantly.” Look for a meaningful trigger.,WB1-C3-Q001,CTA-MQB-0035,WB1-C3,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0036,CTA-FC-0036,CTA-FC-0036,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,3,Ongoing Informed Consent,Application Principle,Client Questions After Intake,What principle should guide the clinician’s decision?,Clarification and reassessment of willingness support meaningful continued participation.,"When a client asks a reasonable later question, choose explanation and continued choice - not “you already signed.”",WB1-C3-Q002,CTA-MQB-0036,WB1-C3,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0037,CTA-FC-0037,CTA-FC-0037,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,3,Ongoing Informed Consent,Application Principle,Significant Treatment Change,What principle should guide the clinician’s decision?,A material departure from the original plan is an appropriate point to revisit information and choice.,“Substantially different from the original plan” is a strong renewed-discussion trigger.,WB1-C3-Q003,CTA-MQB-0037,WB1-C3,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
CTA-EP-002-FC-0038,CTA-FC-0038,CTA-FC-0038,Active,KEEP-LCSW,Workbook 1,"Informed Consent, Minors & Families",1,3,Ongoing Informed Consent,Application Principle,Newly Recognized Material Risk,What principle should guide the clinician’s decision?,New material information should be placed in context and incorporated into the client’s continuing decision.,New information that could affect the decision calls for communication - not silence or an extreme response.,WB1-C3-Q004,CTA-MQB-0038,WB1-C3,,CTA Master Flashcard Library v1.0 shared-core record; reconciled to final LCSW Stage 5B workbook/rationale lineage.,"Reconciled August 7, 2026; recheck high-change law, BBS guidance, examination administration, NASW ethics, and federal overlays at Stage 5D/release.","August 7, 2026",1.0,2026-08-07,Synchronized,Shared Core
