form,q_num,item_id,correct_answer,core_or_calibration
B,52,B-CE-033-R1,D,Core
B,53,B-CE-008-R2,B,Calibration
B,54,B-CP-012,D,Core
B,55,B-TX5B-005-R1,C,Core
B,56,B-TX5C-008,C,Calibration
B,57,B-CP-010,B,Core
B,58,B-DI-011,B,Core
B,59,B-LE6-005-R1,A,Core
B,60,B-CE-036,A,Core
B,61,B-CE-027,D,Core
B,62,B-TX5E-004,C,Core
B,63,B-LE6-003,D,Core
B,64,B-TX5F-003-R1,A,Core
B,65,B-LE6-006-R1,D,Calibration
B,66,B-CE-041-R1,A,Core
B,67,B-CE-007,A,Core
B,68,B-CR-015-R1,B,Core
B,69,B-CP-014,A,Core
B,70,B-TX5D-002-R1,D,Core
B,71,B-CR-012-R1,C,Core
B,72,B-TX5E-002-R1,D,Calibration
B,73,B-CR-013-R2,A,Core
B,74,B-LE6-007-R1,C,Core
B,75,B-CE-010,B,Core
B,76,B-CP-002,C,Core
B,77,B-LE6-011,D,Core
B,78,B-TX5A-002-R1,B,Calibration
B,79,B-TX5D-003,B,Core
B,80,B-DI-013-R1,A,Calibration
B,81,B-DI-006-R2,B,Core
B,82,B-CP-016,B,Core
B,83,B-CE-021-R1,A,Core
B,84,B-CE-022,B,Core
B,85,B-CP-004-R2,B,Calibration
B,86,B-CR-007,D,Core
B,87,B-TX5E-001,B,Core
B,88,B-TX5F-001-R3,B,Core
B,89,B-CP-015,C,Core
B,90,B-CE-024-R1,A,Core
B,91,B-CE-015-R2,C,Core
B,92,B-LE6-012-R1,C,Calibration
B,93,B-LE6-010-R1,A,Core
B,94,B-CP-018-R4,B,Core
B,95,B-TX5E-010-R1,C,Core
B,96,B-CR-008,C,Core
B,97,B-CE-001,B,Core
B,98,B-CE-028,A,Calibration
B,99,B-DI-016-R1,B,Core
B,100,B-DI-015,D,Core
B,101,B-TX5B-004,A,Core
B,102,B-CE-023,A,Core
B,103,B-CR-003-R2,B,Calibration
B,104,B-TX5C-007-R1,B,Core
B,105,B-LE6-014-R1,A,Core
B,106,B-TX5B-002-R1,D,Core
B,107,B-DI-014-R4,C,Core
B,108,B-CR-005-R2,A,Core
B,109,B-CR-001-R3,A,Core
B,110,B-TX5C-004,C,Core
B,111,B-CE-019,C,Core
B,112,B-TX5A-004-R1,D,Core
B,113,B-CE-037-R1,B,Calibration
B,114,B-CP-003-R2,D,Core
B,115,B-TX5E-003,B,Core
B,116,B-DI-010,C,Core
B,117,B-CR-014-R3,D,Core
B,118,B-DI-007,D,Core
B,119,B-TX5F-004-R1,A,Calibration
B,120,B-CE-011-R1,C,Core
B,121,B-CE-003,C,Core
B,122,B-TX5A-005,D,Core
B,123,B-CP-005-R2,C,Core
B,124,B-TX5D-004,B,Calibration
B,125,B-LE6-001-R1,B,Core
B,126,B-DI-002-R1,D,Core
B,127,B-CE-038,C,Core
B,128,B-TX5E-006-R1,A,Core
B,129,B-TX5B-001,D,Core
B,130,B-CE-014-R1,A,Calibration
B,131,B-TX5C-009-R1,C,Core
B,132,B-CE-025,B,Core
B,133,B-CP-001,A,Core
B,134,B-CR-004-R3,D,Core
B,135,B-TX5D-001,A,Core
B,136,B-DI-017-R1,A,Calibration
B,137,B-TX5A-007,C,Core
B,138,B-CR-016-R2,C,Core
B,139,B-CE-012,A,Core
B,140,B-CE-018,D,Calibration
B,141,B-DI-003,A,Core
B,142,B-TX5C-005,A,Core
B,143,B-CE-032-R1,B,Core
B,144,B-CE-006,D,Core
B,145,B-TX5E-007,D,Core
B,146,B-CE-030,B,Core
B,147,B-TX5B-003-R1,A,Calibration
B,148,B-CE-040,D,Core
B,149,B-CE-016,C,Core
B,150,B-TX5A-006,A,Core
